"ea_id","dist_road","dist_agmrkt","dist_auction","dist_admarc","dist_border","dist_popcenter","dist_boma","ea_lat_mod","ea_lon_mod"
20615378,2.599999905,17.5,17.5,4.099999905,91.69999695,17.5,17.4652195,-13.96125031,33.61360168
10505201,4.300000191,25.10000038,73.19999695,10.5,55.29999924,25.10000038,73.15985107,-11.75625992,33.42068863
20707400,18.5,42,58.40000153,8.899999619,39.5,42,42.04409027,-13.44262981,33.01251984
20609370,6.800000191,15.89999962,15.89999962,6,74.59999847,15.89999962,15.92773914,-13.89066029,33.88718033
20402309,13.89999962,35.5,32,3.099999905,97.09999847,16,35.53629684,-13.38578987,33.74993896
30403563,12.69999981,32.70000076,26.20000076,5.5,49.59999847,26.89999962,12.08709145,-15.75965977,35.29669952
10204138,7.199999809,13.60000038,108.4000015,5.400000095,79.09999847,63.5,63.51162338,-10.49139023,34.13845825
20602354,2.799999952,32.09999847,32.09999847,2.799999952,82,32.09999847,32.11938095,-14.05222034,33.48511124
20708403,15.19999981,52.20000076,45.90000153,20.29999924,52.09999847,52.20000076,52.23180008,-13.38681984,33.11383057
20120251,0.600000024,3.400000095,19.29999924,2.5,55.79999924,3.400000095,3.422928095,-13.05193996,33.49752045
31438790,1.5,2.599999905,53.59999847,0.800000012,75.19999695,2.599999905,2.608039856,-15.40007019,35.32648849
10505200,2.299999952,46,64.19999695,6.5,79.80000305,46,64.22744751,-11.5144701,33.43634033
30106497,22.70000076,34.40000153,158.3000031,25.89999962,24.39999962,53.40000153,53.41914749,-14.54759979,35.75408173
20201263,6.199999809,49.70000076,108.4000015,7.199999809,97.69999695,49.70000076,49.69387054,-12.49715042,34.17131042
31532797,3.799999952,11.19999981,9.399999619,1.600000024,58.5,11.19999981,11.21383095,-15.72465992,35.07081985
